id,step_id,title,description,duration_minutes,sort_order,created_at,updated_at,translations
a98f5ae7-1b42-4586-bcc2-20d641de46d9,A,Werte-Hierarchie und Lebensbereiche-Integration,Ordne deine Werte hierarchisch und integriere sie in alle Lebensbereiche.,0,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
cfc5a8de-d20a-4556-94b4-9a878a3a27fa,A,Visionboard für Ihre ideale Kongruenz,Visualisiere deine ideale Zukunft mit vollständiger Kongruenz in allen Bereichen.,0,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
21b05f6f-edb6-4ae3-b920-2b361eed9492,A,Ausrichtungs-Check für Entscheidungen,"Lerne, deine Entscheidungen auf Kongruenz mit deinen tiefsten Werten zu überprüfen.",0,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
0167f5fd-88d3-47bd-9bca-55e42c563df3,A,Werte-Karten Sortierung,"Sortieren Sie Werte-Karten nach ihrer Wichtigkeit für Sie, um Ihre Werte-Hierarchie zu klären.",10,9,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
b468916c-3b8a-468b-8c9b-7513f6c614c9,A,Lebensbereiche-Integration,"Identifizieren Sie Konflikte zwischen Lebensbereichen und entwickeln Sie Strategien, um sie zu integrieren.",15,10,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
b4276957-1112-4487-8c1c-e4c84ca86e36,A,Zukunfts-Selbst Perspektive,"Führen Sie einen Dialog mit Ihrem zukünftigen Selbst, um Ihre Lebensvision zu klären.",20,11,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
47f0c4d5-6e69-45f3-b652-eb78c0a4076a,A,Wertegeleitete Entscheidungsmatrix,"Erstellen Sie eine Matrix, um Entscheidungen anhand Ihrer Werte zu bewerten.",15,12,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
408a0a9f-d85a-4bc5-a0bd-f7eb1e499778,A,Ressourcen-Umverteilung,"Überprüfen Sie, wie Sie Ihre Zeit, Energie und Ressourcen entsprechend Ihrer Werte neu verteilen können.",10,13,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
4f812455-1905-4b42-ab80-1850f11b9dbd,E,Regelmäßiger Kongruenz-Check mit dem KLARE-System,"Wende regelmäßig das KLARE-System an, um deine Kongruenz kontinuierlich zu verfeinern.",0,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
79de4bfa-c85e-47be-9c59-96ac49425e81,E,Journaling zu mühelosen Erfolgs-Momenten,"Dokumentiere Momente müheloser Manifestation und Erfolge, die aus vollständiger Kongruenz entstanden sind.",0,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
08f0227b-1eff-4143-a203-ac9c9cce2e62,E,Mentoring und Weitergabe Ihrer Erkenntnisse,Teile deine Erkenntnisse mit anderen und festige dadurch dein eigenes Wachstum.,0,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
833f3008-fdf8-46b5-88c4-9efb9a590389,K,Lebensrad-Analyse zur Standortbestimmung,"Bewerte deine aktuelle Situation in allen wichtigen Lebensbereichen, um ein klares Bild deines Ist-Zustands zu erhalten.",0,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
4cb70bf3-21ac-4191-a95e-8280e2b945ec,K,Journaling zu Diskrepanzen zwischen Wunsch und Realität,"Schreibe auf, wo du Unterschiede zwischen deinem gewünschten und deinem tatsächlichen Leben wahrnimmst.",0,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
3d2e2bde-905f-4c94-bc75-5a6d748dc0af,K,Feedback-Einholung von vertrauten Personen,"Bitte Menschen, die dich gut kennen, um ehrliches Feedback zu deinen blinden Flecken.",0,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
dd4b5f3c-9b52-437a-9591-949d41b05f49,L,Identifikation von Momenten natürlicher Lebendigkeit,"Sammle Erfahrungen, in denen du dich besonders lebendig und energiegeladen gefühlt hast.",0,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
18314b6f-f60a-4d26-b438-6a327aa255aa,L,Ressourcen-Anker für positive Energiezustände,"Erschaffe kraftvolle Anker, die positive Energiezustände in dir auslösen können.",0,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
e53f7b1c-6271-48db-8966-e67316f1b860,L,Blockaden-Mapping und Auflösungsstrategien,Identifiziere Energieblockaden und entwickle Strategien zu ihrer Auflösung.,0,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
3a7cec83-dd7c-4e50-84c0-af223b524a8d,R,Micro-Habits für tägliche Kongruenz-Praxis,"Integriere kleine, kongruente Gewohnheiten in deinen Alltag.",0,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
3b9e7c87-0bb7-45f4-a9d8-1e3797f23d06,R,Wochenplan mit integrierten Kongruenz-Ritualen,"Gestalte deinen Wochenplan bewusst mit Ritualen, die deine Kongruenz stärken.",0,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
430c13e3-352b-4b64-a1e4-3f54d937be4f,R,Fortschrittstracking mit visuellen Hilfsmitteln,"Halte deinen Fortschritt visuell fest, um Motivation und Durchhaltevermögen zu stärken.",0,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}