id,step_id,question_text,sort_order,created_at,updated_at,translations
0f269f62-2cd2-42f6-a2b6-42d2ee2f8559,A,Wie kann ich meine unterschiedlichen Lebensbereiche harmonischer integrieren?,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
6dc2afdb-a1a6-4b53-a646-8bf75928740a,A,Welche meiner Werte stehen aktuell im Konflikt miteinander?,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
f247ff13-8543-4dbd-a085-a3e2ae2278cc,A,Wie kann ich meine Ziele mit meinen tiefsten Werten in Einklang bringen?,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
e8af7d1a-d873-48a1-8eaa-4274064c662d,A,Wie kann ich meine verschiedenen Lebensbereiche besser integrieren und in Einklang bringen?,9,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
58354539-ce2a-4c54-aece-a4be1151e4e3,A,"Welche meiner Werte sind am wichtigsten für mich, und wie kann ich sie in eine klare Hierarchie bringen?",10,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
7cac2f23-6984-4057-ade1-67a8e1cd004f,A,"Wie kann ich eine Vision entwickeln, die alle Aspekte meines Lebens kohärent verbindet?",11,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
66e02ad5-f91e-453a-9d53-a85f7be2c47f,A,"Wie erkenne ich, ob eine Entscheidung wirklich mit meinen tiefsten Werten übereinstimmt?",12,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
413d8d42-ad03-42bb-9231-c1c02fa094f0,A,"Wie kann ich meine Ausrichtung beibehalten, wenn sich meine Lebensumstände ändern?",13,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,{}
a4ee391c-79e4-4cf0-a282-002a9ef18e5f,E,Wie kann ich mein Wachstum mühelos und natürlich gestalten?,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
f6c45b37-9e97-4ad5-a389-c9e769dec83a,E,In welchen Bereichen erlebe ich bereits mühelose Manifestation?,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
7a889469-23ac-4c40-821e-b59166cda7bd,E,Wie kann ich anderen von meinen Erkenntnissen weitergeben?,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
042195b0-1f38-4d89-aaed-854a7a6a94be,K,Welche Diskrepanzen zwischen Wunsch und Realität nehme ich aktuell in meinen Lebensbereichen wahr?,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
60d9a9be-e543-4a47-8fcc-2d4ff6c1451e,K,In welchen Bereichen meines Lebens fühle ich mich nicht vollständig authentisch?,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
1cf9d314-f785-43b3-9ae6-b0199e48f042,K,Welche Glaubenssätze hindern mich an einer realistischen Selbstwahrnehmung?,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
7608035f-f1da-49ea-b369-41fe3e3c4509,L,In welchen Momenten fühle ich mich vollständig lebendig und energiegeladen?,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
f8a64680-af42-404f-ab94-7d64256affea,L,Welche Aktivitäten oder Umgebungen blockieren meinen natürlichen Energiefluss?,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
cbaaf39e-c4ef-4bf6-9fec-9df721d6ae75,L,Welche verschütteten Talente und Ressourcen möchte ich wiederentdecken?,3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
9a490611-d95c-4455-becb-c57aa1faa9eb,L,Welche Situationen oder Aktivitäten bringen mich am stärksten in Kontakt mit meiner natürlichen Lebendigkeit?,4,2025-04-15 09:20:52.032315+00,2025-04-15 09:20:52.032315+00,{}
b5c3fabf-e4f1-4d2a-8cee-b92f7afd1177,L,"Was sind meine häufigsten Energieblocker, und wie könnte ich sie transformieren?",5,2025-04-15 09:20:52.032315+00,2025-04-15 09:20:52.032315+00,{}
d2caf75c-f536-4a99-826a-379e8a76287f,L,"Wie fühlt sich Lebendigkeit in meinem Körper an, und wie kann ich dieses Gefühl bewusst aktivieren?",6,2025-04-15 09:20:52.032315+00,2025-04-15 09:20:52.032315+00,{}
6431620d-e2e8-45f3-aee5-5eae283b3ea6,L,Welche Verbindung besteht zwischen meiner Lebendigkeit und meiner Kongruenz?,7,2025-04-15 09:20:52.032315+00,2025-04-15 09:20:52.032315+00,{}
5f35e5de-7129-4e70-814b-f55bd8c5884c,L,Wie kann ich mehr Lebendigkeits-Momente in meinen Alltag integrieren?,8,2025-04-15 09:20:52.032315+00,2025-04-15 09:20:52.032315+00,{}
e60489dd-2ee8-4da5-ad34-486fa7e65a60,R,Welche konkreten täglichen Gewohnheiten können meine Kongruenz unterstützen?,1,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
75491fea-1b49-4612-972e-ad9ec6906965,R,Wie kann ich Hindernisse für die nachhaltige Umsetzung überwinden?,2,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}
7f136cbb-ba81-4ab2-ab5d-6fe80edb1601,R,"Welche Strukturen brauche ich, um alte Muster zu durchbrechen?",3,2025-04-13 15:06:22.035917+00,2025-04-13 15:06:22.035917+00,{}